customer_id,signup_date,acquisition_channel
CUST000007,21-03-2025,Organic
CUST000008,07-02-2025,Referral
CUST000009,25-02-2025,Paid
CUST000010,28-01-2025,Paid
CUST000011,18-01-2025,Organic
CUST000014,03-07-2025,Paid
CUST000015,14-02-2025,Organic
CUST000017,11-04-2025,Organic
CUST000019,03-02-2025,Organic
CUST000020,10-01-2025,Paid
CUST000021,03-05-2025,Organic
CUST000025,15-01-2025,Paid
CUST000027,27-01-2025,Social
CUST000028,24-06-2025,Paid
CUST000030,23-05-2025,Referral
CUST000037,09-06-2025,Referral
CUST000039,14-03-2025,Organic
CUST000042,21-05-2025,Organic
CUST000043,01-05-2025,Organic
CUST000044,19-01-2025,Organic
CUST000049,01-03-2025,Organic
CUST000056,03-04-2025,Paid
CUST000057,30-12-2024,Organic
CUST000059,26-02-2025,Organic
CUST000060,30-01-2025,Organic
CUST000065,03-04-2025,Organic
CUST000066,16-12-2024,Organic
CUST000072,26-03-2025,Organic
CUST000073,18-01-2025,Paid
CUST000075,01-12-2024,Organic
CUST000077,06-05-2025,Social
CUST000083,21-01-2025,Referral
CUST000084,31-03-2025,Organic
CUST000087,29-12-2024,Social
CUST000088,15-01-2025,Paid
CUST000090,07-03-2025,Organic
CUST000094,10-07-2025,Social
CUST000097,11-05-2025,Referral
CUST000098,17-03-2025,Social
CUST000100,25-12-2024,Social
CUST000102,14-11-2024,Organic
CUST000103,27-12-2024,Organic
CUST000105,14-02-2025,Organic
CUST000106,20-02-2025,Social
CUST000107,25-04-2025,Organic
CUST000108,01-03-2025,Organic
CUST000109,18-01-2025,Social
CUST000110,30-03-2025,Organic
CUST000111,03-08-2025,Organic
CUST000113,09-02-2025,Referral
CUST000115,17-02-2025,Referral
CUST000117,27-01-2025,Referral
CUST000120,10-01-2025,Referral
CUST000121,27-12-2024,Organic
CUST000123,19-12-2024,Social
CUST000124,09-03-2025,Paid
CUST000127,29-12-2024,Organic
CUST000128,18-03-2025,Referral
CUST000129,18-02-2025,Paid
CUST000131,25-03-2025,Organic
CUST000134,05-03-2025,Paid
CUST000135,01-05-2025,Paid
CUST000139,27-11-2024,Referral
CUST000140,15-02-2025,Paid
CUST000141,22-02-2025,Social
CUST000142,21-02-2025,Organic
CUST000143,28-02-2025,Organic
CUST000144,05-02-2025,Social
CUST000146,05-01-2025,Referral
CUST000147,31-12-2024,Referral
CUST000148,01-08-2025,Social
CUST000149,20-12-2024,Referral
CUST000150,16-03-2025,Organic
CUST000151,02-01-2025,Organic
CUST000153,07-04-2025,Organic
CUST000154,01-01-2025,Paid
CUST000155,23-03-2025,Organic
CUST000158,07-12-2024,Referral
CUST000159,10-01-2025,Organic
CUST000161,30-12-2024,Organic
CUST000163,29-01-2025,Organic
CUST000165,24-02-2025,Paid
CUST000166,26-01-2025,Organic
CUST000168,03-02-2025,Organic
CUST000169,25-07-2025,Paid
CUST000170,10-03-2025,Referral
CUST000172,29-06-2025,Referral
CUST000174,11-04-2025,Referral
CUST000175,12-03-2025,Organic
CUST000178,25-12-2024,Paid
CUST000180,08-02-2025,Social
CUST000188,15-12-2024,Social
CUST000190,08-02-2025,Paid
CUST000191,11-02-2025,Organic
CUST000193,05-12-2024,Paid
CUST000194,23-02-2025,Paid
CUST000197,29-05-2025,Organic
CUST000198,17-12-2024,Organic
CUST000200,12-12-2024,Organic
CUST000201,25-12-2024,Organic
CUST000203,28-02-2025,Referral
CUST000211,28-11-2024,Paid
CUST000214,03-01-2025,Organic
CUST000215,27-12-2024,Paid
CUST000216,16-01-2025,Paid
CUST000217,05-02-2025,Paid
CUST000218,27-12-2024,Organic
CUST000219,28-04-2025,Paid
CUST000220,08-12-2024,Social
CUST000221,20-01-2025,Organic
CUST000222,07-05-2025,Organic
CUST000229,11-06-2025,Paid
CUST000231,31-01-2025,Organic
CUST000233,13-07-2025,Social
CUST000237,07-06-2025,Paid
CUST000239,26-05-2025,Social
CUST000242,19-03-2025,Social
CUST000243,03-02-2025,Social
CUST000245,20-04-2025,Organic
CUST000247,06-06-2025,Paid
CUST000252,03-12-2024,Organic
CUST000256,15-06-2025,Organic
CUST000257,14-03-2025,Organic
CUST000258,10-06-2025,Organic
CUST000261,26-05-2025,Organic
CUST000265,15-03-2025,Organic
CUST000266,07-05-2025,Paid
CUST000268,03-02-2025,Referral
CUST000269,14-02-2025,Organic
CUST000270,13-01-2025,Organic
CUST000276,12-07-2025,Paid
CUST000278,02-03-2025,Paid
CUST000279,22-02-2025,Paid
CUST000280,05-04-2025,Referral
