CUSTOMER_ID,CITY,PREFERRED_CUISINE,PRE_ORDER_COUNT,CRISIS_ORDER_COUNT,ORDER_FREQUENCY_DROP,PRE_RATING,CRISIS_RATING,RATING_DROP,AVG_DELIVERY_DELAY
CUST041121,Bengaluru,Healthy,6,0,6,4.000000,,,
CUST103227,Pune,Fast Food,5,0,5,4.666667,,,
CUST163628,Chennai,South Indian,5,0,5,5.000000,,,
CUST176132,Pune,Biryani,5,0,5,4.500000,,,
CUST032044,Mumbai,Chinese,5,0,5,5.000000,,,
CUST107785,Delhi,North Indian,5,0,5,4.500000,,,
CUST034992,Pune,Chinese,5,0,5,4.500000,,,
CUST125990,Chennai,Healthy,5,0,5,4.500000,,,
CUST014076,Pune,Pizza,5,0,5,5.000000,,,
CUST086938,Delhi,Chinese,5,0,5,5.000000,,,
CUST082992,Kolkata,Pizza,5,0,5,4.500000,,,
CUST078309,Kolkata,Fast Food,5,0,5,5.000000,,,
CUST036233,Pune,South Indian,5,0,5,4.500000,,,
CUST194671,Hyderabad,Pizza,5,0,5,4.000000,,,
CUST124189,Chennai,Desserts,5,0,5,4.333333,,,
CUST076253,Hyderabad,Desserts,5,0,5,4.333333,,,
CUST032334,Bengaluru,South Indian,5,0,5,5.000000,,,
CUST188511,Kolkata,Biryani,5,0,5,4.500000,,,
CUST020252,Chennai,Chinese,5,0,5,4.500000,,,
CUST144684,Pune,South Indian,5,0,5,4.666667,,,
CUST064951,Mumbai,North Indian,5,0,5,4.500000,,,
CUST011220,Kolkata,South Indian,5,0,5,4.000000,,,
CUST056893,Hyderabad,Biryani,5,0,5,,,,
CUST157798,Chennai,Biryani,5,0,5,5.000000,,,
CUST062877,Chennai,Chinese,5,0,5,4.666667,,,
CUST041953,Mumbai,Pizza,5,0,5,5.000000,,,
CUST041916,Bengaluru,North Indian,5,0,5,4.500000,,,
CUST072644,Mumbai,South Indian,5,0,5,4.666667,,,
CUST042658,Delhi,South Indian,5,0,5,5.000000,,,
CUST179266,Delhi,Healthy,5,0,5,4.333333,,,
CUST192783,Delhi,Chinese,5,0,5,4.666667,,,
CUST082306,Bengaluru,North Indian,5,0,5,4.000000,,,
CUST069956,Bengaluru,Fast Food,5,0,5,5.000000,,,
CUST076309,Mumbai,Biryani,6,1,5,4.250000,,,32.000000
CUST110300,Chennai,Pizza,5,0,5,4.500000,,,
CUST109617,Mumbai,Biryani,5,0,5,5.000000,,,
CUST133854,Delhi,Fast Food,5,0,5,4.000000,,,
CUST165515,Pune,Chinese,5,0,5,5.000000,,,
CUST083875,Pune,Chinese,5,0,5,5.000000,,,
CUST077722,Delhi,North Indian,5,0,5,4.000000,,,
CUST109591,Kolkata,Healthy,5,0,5,5.000000,,,
CUST110481,Pune,Healthy,5,0,5,4.250000,,,
CUST136890,Bengaluru,North Indian,5,0,5,4.000000,,,
CUST151152,Bengaluru,Chinese,4,0,4,4.250000,,,
CUST171292,Delhi,Pizza,4,0,4,4.666667,,,
CUST051448,Chennai,Chinese,4,0,4,,,,
CUST157777,Mumbai,Healthy,4,0,4,4.000000,,,
CUST115412,Ahmedabad,Chinese,4,0,4,4.500000,,,
CUST066997,Pune,North Indian,4,0,4,4.500000,,,
CUST025804,Hyderabad,Pizza,4,0,4,4.500000,,,
CUST004634,Mumbai,South Indian,4,0,4,5.000000,,,
CUST120460,Mumbai,North Indian,4,0,4,,,,
CUST073640,Kolkata,South Indian,4,0,4,4.666667,,,
CUST159672,Bengaluru,South Indian,4,0,4,4.666667,,,
CUST116631,Chennai,North Indian,4,0,4,4.500000,,,
CUST153308,Bengaluru,North Indian,4,0,4,4.500000,,,
CUST098668,Bengaluru,Biryani,4,0,4,5.000000,,,
CUST166126,Ahmedabad,Pizza,4,0,4,4.500000,,,
CUST002215,Bengaluru,Desserts,4,0,4,,,,
CUST153322,Bengaluru,Fast Food,4,0,4,5.000000,,,
CUST088377,Mumbai,Fast Food,4,0,4,4.000000,,,
CUST102685,Delhi,South Indian,4,0,4,4.000000,,,
CUST140048,Chennai,North Indian,4,0,4,4.666667,,,
CUST111692,Bengaluru,Fast Food,4,0,4,4.000000,,,
CUST132013,Bengaluru,Pizza,4,0,4,5.000000,,,
CUST017323,Bengaluru,Healthy,4,0,4,5.000000,,,
CUST127830,Kolkata,Pizza,4,0,4,5.000000,,,
CUST146837,Hyderabad,South Indian,4,0,4,5.000000,,,
CUST097875,Chennai,Biryani,4,0,4,4.500000,,,
CUST112653,Chennai,North Indian,4,0,4,,5.000000,,
CUST143905,Kolkata,South Indian,4,0,4,5.000000,,,
CUST087430,Delhi,Chinese,4,0,4,4.500000,,,
CUST003376,Mumbai,Healthy,4,0,4,4.333333,,,
CUST158185,Hyderabad,Chinese,4,0,4,5.000000,,,
CUST034337,Bengaluru,North Indian,4,0,4,5.000000,,,
CUST170065,Bengaluru,Desserts,4,0,4,4.500000,,,
CUST011958,Bengaluru,Biryani,4,0,4,5.000000,,,
CUST048448,Mumbai,North Indian,4,0,4,4.500000,,,
CUST193097,Bengaluru,Desserts,4,0,4,4.500000,,,
CUST166263,Mumbai,Pizza,4,0,4,4.666667,,,
CUST121779,Pune,Biryani,4,0,4,5.000000,,,
CUST046330,Bengaluru,Biryani,4,0,4,4.666667,,,
CUST074868,Hyderabad,Pizza,4,0,4,4.666667,,,
CUST086357,Bengaluru,Fast Food,4,0,4,5.000000,,,
CUST007483,Delhi,Chinese,4,0,4,4.666667,,,
CUST040630,Delhi,South Indian,4,0,4,5.000000,,,
CUST111428,Ahmedabad,Chinese,4,0,4,4.500000,,,
CUST040149,Mumbai,Chinese,4,0,4,4.500000,,,
CUST003506,Bengaluru,Chinese,4,0,4,5.000000,,,
CUST169485,Bengaluru,Chinese,4,0,4,4.500000,,,
CUST146712,Bengaluru,Pizza,4,0,4,4.500000,,,
CUST159762,Ahmedabad,Biryani,4,0,4,5.000000,,,
CUST154874,Ahmedabad,Chinese,4,0,4,4.000000,,,
CUST059230,Hyderabad,North Indian,4,0,4,,,,
CUST159150,Bengaluru,North Indian,4,0,4,5.000000,,,
CUST061515,Hyderabad,Fast Food,4,0,4,4.000000,,,
CUST034988,Delhi,Chinese,4,0,4,4.500000,,,
CUST193441,Ahmedabad,North Indian,4,0,4,4.500000,,,
CUST167490,Hyderabad,South Indian,4,0,4,4.666667,,,
CUST135800,Delhi,Chinese,4,0,4,4.333333,,,
CUST171543,Mumbai,Pizza,4,0,4,4.333333,,,
CUST138308,Mumbai,Healthy,4,0,4,5.000000,,,
CUST007904,Chennai,Chinese,4,0,4,4.500000,,,
CUST088648,Bengaluru,North Indian,4,0,4,5.000000,,,
CUST017393,Mumbai,Pizza,4,0,4,4.500000,,,
CUST126334,Hyderabad,Biryani,4,0,4,5.000000,,,
CUST148145,Pune,Desserts,4,0,4,4.500000,,,
CUST132664,Hyderabad,Pizza,4,0,4,4.666667,,,
CUST012870,Delhi,South Indian,4,0,4,4.500000,,,
CUST138465,Hyderabad,South Indian,4,0,4,,,,
CUST093331,Delhi,South Indian,4,0,4,4.000000,,,
CUST024538,Kolkata,Biryani,4,0,4,,,,
CUST031442,Mumbai,North Indian,4,0,4,4.500000,,,
CUST089521,Pune,Fast Food,4,0,4,4.000000,,,
CUST026722,Hyderabad,Desserts,4,0,4,4.333333,,,
CUST059579,Ahmedabad,Chinese,4,0,4,4.000000,,,
CUST087583,Chennai,Biryani,4,0,4,4.000000,,,
CUST157222,Ahmedabad,Desserts,4,0,4,4.666667,,,
CUST074132,Bengaluru,Pizza,4,0,4,4.500000,,,
CUST167102,Bengaluru,Biryani,4,0,4,4.000000,,,
CUST043597,Pune,Chinese,4,0,4,5.000000,,,
CUST192879,Bengaluru,Pizza,4,0,4,4.500000,,,
CUST002532,Hyderabad,Fast Food,4,0,4,4.666667,,,
CUST006247,Hyderabad,Pizza,4,0,4,4.666667,,,
CUST045773,Delhi,Pizza,4,0,4,4.250000,,,
CUST065254,Mumbai,North Indian,4,0,4,5.000000,,,
CUST060039,Ahmedabad,South Indian,4,0,4,4.500000,,,
CUST173009,Ahmedabad,Chinese,4,0,4,,,,
CUST180017,Delhi,South Indian,4,0,4,4.500000,,,
CUST014821,Hyderabad,Chinese,4,0,4,4.333333,,,
CUST133682,Bengaluru,North Indian,4,0,4,5.000000,,,
CUST065213,Bengaluru,Pizza,4,0,4,4.500000,,,
CUST026992,Delhi,Biryani,4,0,4,,,,
CUST055308,Mumbai,South Indian,4,0,4,4.666667,,,
CUST096255,Bengaluru,Chinese,4,0,4,4.333333,,,
CUST178428,Kolkata,North Indian,4,0,4,5.000000,,,
CUST117730,Mumbai,Biryani,4,0,4,4.000000,,,
CUST056174,Delhi,North Indian,4,0,4,4.250000,,,
CUST028298,Bengaluru,Healthy,4,0,4,5.000000,,,
CUST113582,Pune,North Indian,4,0,4,4.500000,,,
CUST108118,Delhi,North Indian,4,0,4,4.666667,,,
CUST146039,Delhi,Biryani,4,0,4,4.000000,,,
CUST033937,Bengaluru,Biryani,5,1,4,4.500000,,,28.000000
CUST019917,Chennai,South Indian,4,0,4,4.000000,,,
CUST096973,Mumbai,Desserts,4,0,4,4.750000,,,
CUST080630,Chennai,North Indian,4,0,4,4.000000,,,
CUST157240,Delhi,North Indian,4,0,4,5.000000,,,
CUST183882,Mumbai,Biryani,4,0,4,5.000000,,,
CUST122733,Delhi,North Indian,4,0,4,4.500000,,,
CUST014549,Hyderabad,Fast Food,4,0,4,5.000000,,,
CUST005638,Bengaluru,Pizza,4,0,4,4.500000,,,
CUST176125,Ahmedabad,South Indian,4,0,4,4.333333,,,
CUST154093,Mumbai,North Indian,4,0,4,4.500000,,,
CUST112615,Chennai,North Indian,4,0,4,4.000000,,,
CUST102760,Mumbai,Chinese,4,0,4,4.500000,,,
CUST187669,Mumbai,North Indian,4,0,4,4.500000,,,
CUST059845,Chennai,Fast Food,4,0,4,4.000000,,,
CUST157463,Delhi,Biryani,4,0,4,4.000000,,,
CUST028758,Ahmedabad,Chinese,4,0,4,4.500000,,,
CUST151037,Bengaluru,South Indian,4,0,4,4.333333,,,
CUST126933,Bengaluru,North Indian,4,0,4,5.000000,,,
CUST163281,Ahmedabad,North Indian,4,0,4,5.000000,,,
CUST103843,Delhi,North Indian,4,0,4,4.666667,,,
CUST100229,Hyderabad,Chinese,4,0,4,4.333333,,,
CUST183025,Delhi,Fast Food,4,0,4,4.000000,,,
CUST161010,Bengaluru,North Indian,4,0,4,4.000000,,,
CUST098085,Bengaluru,North Indian,4,0,4,4.000000,,,
CUST167117,Bengaluru,Pizza,4,0,4,4.500000,,,
CUST013695,Delhi,Pizza,4,0,4,4.333333,,,
CUST185870,Mumbai,North Indian,4,0,4,4.666667,,,
CUST070616,Mumbai,Biryani,4,0,4,5.000000,,,
CUST053671,Hyderabad,South Indian,4,0,4,5.000000,,,
CUST145402,Bengaluru,Chinese,4,0,4,4.500000,,,
CUST005671,Pune,Healthy,4,0,4,4.500000,,,
CUST031562,Delhi,Healthy,4,0,4,4.500000,,,
CUST096054,Bengaluru,Desserts,4,0,4,4.500000,,,
CUST052518,Mumbai,Biryani,4,0,4,4.000000,,,
CUST167009,Kolkata,Pizza,4,0,4,5.000000,,,
CUST174212,Ahmedabad,North Indian,4,0,4,4.333333,,,
CUST038259,Mumbai,Desserts,4,0,4,4.000000,,,
CUST085055,Mumbai,South Indian,4,0,4,5.000000,,,
CUST126105,Bengaluru,North Indian,4,0,4,5.000000,,,
CUST070441,Chennai,North Indian,4,0,4,5.000000,,,
CUST148027,Hyderabad,South Indian,4,0,4,5.000000,,,
CUST095307,Chennai,Fast Food,4,0,4,4.500000,,,
CUST100545,Delhi,North Indian,4,0,4,4.500000,,,
CUST181011,Ahmedabad,Healthy,4,0,4,5.000000,,,
CUST133274,Hyderabad,South Indian,4,0,4,,,,
CUST040933,Bengaluru,Pizza,4,0,4,4.333333,,,
CUST151945,Chennai,Chinese,4,0,4,5.000000,,,
CUST189881,Mumbai,Pizza,4,0,4,5.000000,,,
CUST099528,Bengaluru,South Indian,4,0,4,5.000000,,,
CUST129181,Kolkata,North Indian,4,0,4,4.333333,,,
CUST142025,Mumbai,Desserts,4,0,4,4.500000,,,
CUST174902,Chennai,Biryani,4,0,4,4.000000,,,
CUST139927,Mumbai,Biryani,4,0,4,,,,
CUST079096,Delhi,North Indian,4,0,4,4.000000,,,
CUST193530,Bengaluru,Chinese,4,0,4,4.500000,,,
CUST174477,Mumbai,Desserts,4,0,4,4.000000,,,
CUST050990,Mumbai,Biryani,4,0,4,4.500000,,,
CUST072750,Mumbai,Pizza,4,0,4,4.666667,,,
CUST113655,Mumbai,Desserts,4,0,4,5.000000,,,
CUST166540,Delhi,South Indian,4,0,4,5.000000,,,
CUST113046,Bengaluru,Healthy,4,0,4,5.000000,,,
CUST175014,Bengaluru,Chinese,4,0,4,4.500000,,,
CUST063929,Kolkata,South Indian,4,0,4,4.250000,,,
CUST029543,Bengaluru,Pizza,4,0,4,4.000000,,,
CUST144798,Delhi,North Indian,4,0,4,4.333333,,,
CUST044264,Chennai,Chinese,4,0,4,5.000000,,,
CUST105931,Kolkata,Chinese,4,0,4,5.000000,,,
CUST011018,Mumbai,Fast Food,4,0,4,4.333333,,,
CUST136916,Chennai,South Indian,4,0,4,4.666667,,,
CUST165768,Delhi,Pizza,4,0,4,4.333333,,,
CUST095845,Bengaluru,North Indian,4,0,4,5.000000,,,
CUST008309,Pune,Biryani,4,0,4,4.666667,,,
CUST080787,Bengaluru,Fast Food,4,0,4,5.000000,,,
CUST084808,Hyderabad,Pizza,4,0,4,,,,
CUST038310,Chennai,South Indian,4,0,4,4.500000,,,
CUST108395,Hyderabad,North Indian,4,0,4,4.500000,,,
CUST120911,Ahmedabad,Fast Food,4,0,4,5.000000,,,
CUST065499,Bengaluru,Biryani,4,0,4,4.333333,,,
CUST072857,Pune,Chinese,4,0,4,4.666667,,,
CUST126867,Mumbai,North Indian,4,0,4,4.500000,,,
CUST139074,Delhi,North Indian,4,0,4,4.500000,,,
CUST016613,Bengaluru,North Indian,4,0,4,5.000000,,,
CUST187661,Bengaluru,Fast Food,5,1,4,4.500000,,,7.000000
CUST043305,Pune,North Indian,4,0,4,4.333333,,,
CUST111644,Ahmedabad,Fast Food,4,0,4,5.000000,,,
CUST100936,Mumbai,Chinese,4,0,4,4.000000,,,
CUST060427,Bengaluru,Chinese,4,0,4,5.000000,,,
CUST148794,Chennai,Biryani,4,0,4,4.500000,,,
CUST137898,Bengaluru,South Indian,4,0,4,5.000000,,,
CUST178099,Bengaluru,Pizza,4,0,4,4.000000,,,
CUST138887,Hyderabad,Pizza,4,0,4,4.750000,,,
CUST190125,Mumbai,Chinese,4,0,4,4.666667,,,
CUST132683,Hyderabad,Chinese,4,0,4,4.000000,,,
CUST134968,Chennai,Chinese,4,0,4,5.000000,,,
CUST093989,Kolkata,Pizza,4,0,4,5.000000,,,
CUST198422,Chennai,Biryani,4,0,4,5.000000,,,
CUST119686,Pune,North Indian,4,0,4,4.500000,,,
CUST092097,Bengaluru,South Indian,4,0,4,5.000000,,,
CUST022188,Kolkata,Pizza,4,0,4,4.333333,,,
CUST157058,Delhi,Biryani,4,0,4,4.000000,,,
CUST110013,Bengaluru,Chinese,4,0,4,4.333333,,,
CUST047212,Ahmedabad,Pizza,4,0,4,4.666667,,,
CUST002098,Bengaluru,Fast Food,4,0,4,5.000000,,,
CUST062243,Pune,Fast Food,4,0,4,4.666667,,,
CUST189810,Delhi,South Indian,4,0,4,4.333333,,,
CUST190787,Ahmedabad,South Indian,4,0,4,4.000000,,,
CUST098099,Bengaluru,Biryani,4,0,4,5.000000,,,
CUST008282,Mumbai,Pizza,4,0,4,4.333333,,,
CUST161149,Mumbai,North Indian,4,0,4,4.500000,,,
CUST098769,Mumbai,Fast Food,4,0,4,4.000000,,,
CUST068697,Bengaluru,Pizza,4,0,4,5.000000,,,
CUST179403,Bengaluru,Pizza,4,0,4,5.000000,,,
CUST047366,Bengaluru,Chinese,4,0,4,4.000000,,,
CUST080364,Mumbai,Chinese,4,0,4,5.000000,,,
CUST010671,Hyderabad,South Indian,4,0,4,4.000000,,,
CUST124385,Mumbai,Desserts,4,0,4,5.000000,,,
CUST053644,Ahmedabad,Pizza,4,0,4,5.000000,,,
CUST128060,Mumbai,Biryani,4,0,4,4.500000,,,
CUST129399,Mumbai,Fast Food,4,0,4,,,,
CUST193776,Bengaluru,Fast Food,4,0,4,5.000000,,,
CUST153054,Pune,Biryani,4,0,4,4.500000,,,
CUST088687,Ahmedabad,Chinese,4,0,4,5.000000,,,
CUST035543,Mumbai,South Indian,4,0,4,,,,
CUST100977,Mumbai,North Indian,4,0,4,,,,
CUST118582,Bengaluru,Biryani,4,0,4,5.000000,,,
CUST162625,Bengaluru,Pizza,4,0,4,4.500000,,,
CUST101472,Kolkata,South Indian,4,0,4,4.000000,,,
CUST012402,Kolkata,Chinese,4,0,4,4.500000,,,
CUST199801,Chennai,North Indian,4,0,4,,,,
CUST153801,Mumbai,Biryani,4,0,4,4.500000,,,
CUST069972,Hyderabad,Chinese,4,0,4,4.666667,,,
CUST186419,Bengaluru,North Indian,4,0,4,4.500000,,,
CUST187405,Kolkata,Desserts,4,0,4,4.000000,,,
CUST079220,Delhi,Chinese,4,0,4,4.000000,,,
CUST125760,Mumbai,North Indian,4,0,4,4.000000,,,
CUST156702,Delhi,North Indian,4,0,4,4.000000,,,
