CUSTOMER_ID,TOTAL_SPEND,PRE_CRISIS_ORDERS,CRISIS_ORDERS,PRE_CRISIS_RATING,CRISIS_RATING,ORDER_DROP,RATING_DROP
CUST064951,1847.34,6,0,4.5000000,,6,4.5000000
CUST163628,2397.58,5,0,4.7500000,,5,4.7500000
CUST082992,2022.08,5,0,4.7000000,,5,4.7000000
CUST026722,1322.34,5,0,4.5666667,,5,4.5666667
CUST077722,2715.18,5,0,4.4000000,,5,4.4000000
CUST100977,1093.69,4,0,,,4,
CUST138465,1483.10,4,0,,,4,
CUST004836,834.94,4,0,,,4,
CUST140529,901.68,4,0,,,4,
CUST041777,1614.88,4,0,,,4,
CUST056893,1371.24,4,0,,,4,
CUST063282,829.48,4,0,,,4,
CUST167649,920.12,4,0,5.0000000,,4,5.0000000
CUST098288,1216.19,4,0,5.0000000,,4,5.0000000
CUST006990,1096.78,4,0,5.0000000,,4,5.0000000
CUST159762,2008.41,4,0,5.0000000,,4,5.0000000
CUST086252,1170.86,4,0,5.0000000,,4,5.0000000
CUST004634,1048.48,4,0,5.0000000,,4,5.0000000
CUST092097,1187.80,4,0,5.0000000,,4,5.0000000
CUST180744,973.03,4,0,5.0000000,,4,5.0000000
CUST124385,1237.93,4,0,5.0000000,,4,5.0000000
CUST146205,1620.18,4,0,5.0000000,,4,5.0000000
CUST125990,2175.88,4,0,5.0000000,,4,5.0000000
CUST175087,924.55,4,0,5.0000000,,4,5.0000000
CUST165515,1595.32,4,0,4.9500000,,4,4.9500000
CUST014076,1404.76,4,0,4.9000000,,4,4.9000000
CUST126933,1507.08,4,0,4.9000000,,4,4.9000000
CUST183882,1213.65,4,0,4.8000000,,4,4.8000000
CUST127566,1885.93,4,0,4.8000000,,4,4.8000000
CUST141674,1317.23,4,0,4.8000000,,4,4.8000000
CUST139550,960.65,4,0,4.8000000,,4,4.8000000
CUST138029,970.80,4,0,4.7666667,,4,4.7666667
CUST107471,842.70,4,0,4.7000000,,4,4.7000000
CUST170859,1226.34,4,0,4.7000000,,4,4.7000000
CUST159150,1035.61,4,0,4.7000000,,4,4.7000000
CUST157798,1501.21,4,0,4.6500000,,4,4.6500000
CUST177141,1418.70,4,0,4.6500000,,4,4.6500000
CUST177608,1022.95,4,0,4.6500000,,4,4.6500000
CUST069972,1686.54,4,0,4.6333333,,4,4.6333333
CUST072857,1886.26,4,0,4.6333333,,4,4.6333333
CUST186419,1574.79,4,0,4.6000000,,4,4.6000000
CUST144523,818.84,4,0,4.6000000,,4,4.6000000
CUST080753,1095.70,4,0,4.6000000,,4,4.6000000
CUST083017,1234.65,4,0,4.6000000,,4,4.6000000
CUST192705,1269.57,4,0,4.6000000,,4,4.6000000
CUST153322,1410.40,4,0,4.6000000,,4,4.6000000
CUST005671,1769.89,4,0,4.6000000,,4,4.6000000
CUST019977,931.39,4,0,4.6000000,,4,4.6000000
CUST163646,1128.89,4,0,4.5666667,,4,4.5666667
CUST040933,1573.45,4,0,4.5666667,,4,4.5666667
CUST173310,1156.89,4,0,4.5500000,,4,4.5500000
CUST187669,1319.56,4,0,4.5500000,,4,4.5500000
CUST070616,947.22,4,0,4.5000000,,4,4.5000000
CUST198422,1275.11,4,0,4.5000000,,4,4.5000000
CUST148145,1014.91,4,0,4.5000000,,4,4.5000000
CUST146712,1052.53,4,0,4.4500000,,4,4.4500000
CUST069668,1407.93,4,0,4.4500000,,4,4.4500000
CUST175014,1043.91,4,0,4.4500000,,4,4.4500000
CUST073377,1354.46,4,0,4.4333333,,4,4.4333333
CUST012402,1452.78,4,0,4.4250000,,4,4.4250000
CUST112615,1320.95,4,0,4.4000000,,4,4.4000000
CUST063929,1730.34,4,0,4.4000000,,4,4.4000000
CUST155346,1680.87,4,0,4.4000000,,4,4.4000000
CUST102685,1331.89,4,0,4.3500000,,4,4.3500000
CUST154874,1354.63,4,0,4.3000000,,4,4.3000000
CUST006247,1703.81,4,0,4.2666667,,4,4.2666667
CUST092652,1183.76,4,0,4.2500000,,4,4.2500000
CUST041916,1292.04,4,0,4.2000000,,4,4.2000000
CUST180017,1104.75,4,0,4.2000000,,4,4.2000000
CUST117833,1380.86,4,0,4.1500000,,4,4.1500000
CUST062877,1690.86,4,0,4.1500000,,4,4.1500000
CUST100936,1315.32,4,0,4.1000000,,4,4.1000000
CUST059845,1550.11,4,0,4.1000000,,4,4.1000000
CUST175023,984.58,4,0,3.9666667,,4,3.9666667
CUST065230,831.73,3,0,,,3,
CUST153746,1539.64,3,0,,,3,
CUST094916,1225.75,3,0,,,3,
CUST135206,1032.38,3,0,,,3,
CUST108166,1052.41,3,0,,,3,
CUST029738,1077.83,3,0,,,3,
CUST088328,1271.18,3,0,,,3,
CUST174250,1528.90,3,0,,,3,
CUST157081,1025.85,3,0,,,3,
CUST199904,845.17,3,0,,,3,
CUST093692,1178.88,3,0,,,3,
CUST040975,913.26,3,0,,,3,
CUST126363,1074.14,3,0,,,3,
CUST115763,1167.72,3,0,,,3,
CUST082087,1069.87,3,0,,,3,
CUST120159,1031.80,3,0,,,3,
CUST084473,830.87,3,0,,,3,
CUST016352,1545.24,3,0,,,3,
CUST159267,1289.18,3,0,,,3,
CUST066733,868.16,3,0,,,3,
CUST051735,1237.37,3,0,,,3,
CUST061030,948.22,3,0,,,3,
CUST023031,892.89,3,0,,,3,
CUST056598,1048.27,3,0,,,3,
CUST144802,933.19,3,0,,,3,
CUST060399,809.63,3,0,,,3,
CUST167102,971.96,3,0,,,3,
CUST022617,1119.37,3,0,,,3,
CUST046308,1117.77,3,0,,,3,
CUST054308,912.00,4,1,,4.4000000,3,
CUST113861,1136.17,3,0,,,3,
CUST024538,837.32,3,0,,,3,
CUST068813,1076.47,3,0,,,3,
CUST096402,940.75,3,0,,,3,
CUST111264,1130.67,3,0,,,3,
CUST164475,868.56,3,0,,,3,
CUST178200,1428.38,3,0,,,3,
CUST168266,1081.24,3,0,,,3,
CUST166428,811.06,3,0,,,3,
CUST096915,959.73,3,0,,,3,
CUST043030,1083.60,3,0,,,3,
CUST126680,865.60,3,0,,,3,
CUST178520,1184.73,3,0,,,3,
CUST117147,1180.30,3,0,,,3,
CUST120460,935.18,3,0,,,3,
CUST109556,1371.49,3,0,,,3,
CUST095955,1212.88,3,0,,,3,
CUST103779,1175.88,3,0,,,3,
CUST048504,1019.59,3,0,,,3,
CUST060968,927.54,3,0,,,3,
CUST131276,1748.21,3,0,,,3,
CUST187195,818.18,3,0,,,3,
CUST038327,890.68,3,0,,,3,
CUST109239,922.99,3,0,,,3,
CUST159973,1462.59,3,0,,,3,
CUST052096,889.64,3,0,,,3,
CUST106166,855.83,3,0,,,3,
CUST191880,982.15,3,0,,,3,
CUST193776,1158.17,3,0,,,3,
CUST170886,1182.91,3,0,,,3,
CUST116022,1587.18,3,0,,,3,
CUST011204,1165.76,3,0,,,3,
CUST094586,1432.70,3,0,,,3,
CUST101488,899.77,3,0,,,3,
CUST083757,1516.22,3,0,,,3,
CUST152144,1108.28,3,0,,,3,
CUST158954,829.13,3,0,,,3,
CUST193989,810.70,3,0,,,3,
CUST111499,1042.95,3,0,,,3,
CUST097331,989.82,3,0,,,3,
CUST120311,1148.29,3,0,,,3,
CUST063448,1284.47,3,0,,,3,
CUST052737,808.57,3,0,,,3,
CUST046185,1649.93,3,0,,,3,
CUST173992,1072.40,3,0,,,3,
CUST117775,941.65,3,0,,,3,
CUST070942,1617.39,3,0,,,3,
CUST182267,983.93,3,0,,,3,
CUST098169,1246.90,3,0,,,3,
CUST052301,840.37,3,0,,,3,
CUST187855,985.25,3,0,,,3,
CUST161686,1067.76,3,0,,,3,
CUST097469,1571.94,3,0,,,3,
CUST156284,1293.93,3,0,,,3,
CUST186031,938.75,3,0,,,3,
CUST171123,1424.39,3,0,,,3,
CUST045090,885.76,3,0,,,3,
CUST093181,1187.82,3,0,,,3,
CUST098970,1112.98,3,0,,,3,
CUST122713,823.08,3,0,,,3,
CUST117258,1065.29,3,0,,,3,
CUST040235,1236.53,3,0,,,3,
CUST063476,1617.18,3,0,5.0000000,,3,5.0000000
CUST041953,1456.93,4,1,5.0000000,,3,5.0000000
CUST047255,1419.43,3,0,5.0000000,,3,5.0000000
CUST048374,913.54,3,0,5.0000000,,3,5.0000000
CUST029766,1165.01,3,0,5.0000000,,3,5.0000000
CUST123860,1105.87,3,0,5.0000000,,3,5.0000000
CUST022785,997.11,3,0,5.0000000,,3,5.0000000
CUST149635,1251.96,3,0,5.0000000,,3,5.0000000
CUST166318,1039.34,3,0,5.0000000,,3,5.0000000
CUST013253,999.85,3,0,5.0000000,,3,5.0000000
CUST193722,1054.74,3,0,5.0000000,,3,5.0000000
CUST176209,1070.02,3,0,5.0000000,,3,5.0000000
CUST030197,1090.67,3,0,5.0000000,,3,5.0000000
CUST199388,887.60,3,0,5.0000000,,3,5.0000000
CUST120666,1296.11,3,0,5.0000000,,3,5.0000000
CUST049975,1128.35,3,0,5.0000000,,3,5.0000000
CUST094477,1376.02,3,0,5.0000000,,3,5.0000000
CUST165884,1029.96,3,0,5.0000000,,3,5.0000000
CUST126245,884.14,3,0,5.0000000,,3,5.0000000
CUST074075,886.99,3,0,5.0000000,,3,5.0000000
CUST011965,1760.83,3,0,5.0000000,,3,5.0000000
CUST177928,894.23,3,0,5.0000000,,3,5.0000000
CUST053197,1117.41,3,0,5.0000000,,3,5.0000000
CUST037389,1176.53,3,0,5.0000000,,3,5.0000000
CUST126248,1031.58,3,0,5.0000000,,3,5.0000000
CUST135272,958.07,3,0,5.0000000,,3,5.0000000
CUST077640,1101.39,3,0,5.0000000,,3,5.0000000
CUST194023,827.81,3,0,5.0000000,,3,5.0000000
CUST002828,895.24,3,0,5.0000000,,3,5.0000000
CUST141631,1323.26,3,0,5.0000000,,3,5.0000000
CUST054507,1566.50,3,0,5.0000000,,3,5.0000000
CUST081854,1074.29,3,0,5.0000000,,3,5.0000000
CUST003391,1103.75,3,0,5.0000000,,3,5.0000000
CUST116580,1102.55,3,0,5.0000000,,3,5.0000000
CUST192288,1034.83,3,0,5.0000000,,3,5.0000000
CUST077434,1108.73,3,0,5.0000000,,3,5.0000000
CUST186741,994.85,3,0,5.0000000,,3,5.0000000
CUST014549,1373.51,3,0,5.0000000,,3,5.0000000
CUST140690,1010.30,3,0,5.0000000,,3,5.0000000
CUST177908,1182.92,3,0,5.0000000,,3,5.0000000
CUST140392,1208.82,3,0,5.0000000,,3,5.0000000
CUST067976,879.13,3,0,5.0000000,,3,5.0000000
CUST116896,966.45,3,0,5.0000000,,3,5.0000000
CUST189881,1279.41,3,0,5.0000000,,3,5.0000000
CUST114527,1175.92,3,0,5.0000000,,3,5.0000000
CUST104946,926.23,3,0,5.0000000,,3,5.0000000
CUST002098,1054.11,3,0,5.0000000,,3,5.0000000
CUST111043,1173.68,3,0,5.0000000,,3,5.0000000
CUST043155,1145.69,3,0,5.0000000,,3,5.0000000
CUST183420,1192.75,3,0,5.0000000,,3,5.0000000
CUST198017,1069.09,3,0,5.0000000,,3,5.0000000
CUST139382,1273.61,3,0,5.0000000,,3,5.0000000
CUST037344,1113.93,3,0,5.0000000,,3,5.0000000
CUST033967,966.92,3,0,5.0000000,,3,5.0000000
CUST124074,869.29,3,0,5.0000000,,3,5.0000000
CUST020686,922.32,3,0,5.0000000,,3,5.0000000
CUST021268,1035.35,3,0,5.0000000,,3,5.0000000
CUST138887,1322.61,3,0,4.9666667,,3,4.9666667
CUST038756,1323.84,3,0,4.9666667,,3,4.9666667
CUST160816,1580.21,3,0,4.9666667,,3,4.9666667
CUST023852,863.97,3,0,4.9500000,,3,4.9500000
CUST009618,1267.28,3,0,4.9500000,,3,4.9500000
CUST108118,1123.30,3,0,4.9500000,,3,4.9500000
CUST076160,1250.75,3,0,4.9500000,,3,4.9500000
CUST141035,1219.89,3,0,4.9500000,,3,4.9500000
CUST090606,1082.44,3,0,4.9500000,,3,4.9500000
CUST042490,1351.55,3,0,4.9500000,,3,4.9500000
CUST037772,998.85,3,0,4.9500000,,3,4.9500000
CUST002789,1101.15,3,0,4.9333333,,3,4.9333333
CUST190429,905.65,3,0,4.9000000,,3,4.9000000
CUST106398,901.98,3,0,4.9000000,,3,4.9000000
CUST198522,1087.26,3,0,4.9000000,,3,4.9000000
CUST113934,1344.55,3,0,4.9000000,,3,4.9000000
CUST108915,975.61,3,0,4.9000000,,3,4.9000000
CUST002037,1039.11,3,0,4.9000000,,3,4.9000000
CUST003506,1030.70,3,0,4.9000000,,3,4.9000000
CUST100107,1252.41,3,0,4.9000000,,3,4.9000000
CUST010347,1243.72,3,0,4.9000000,,3,4.9000000
CUST118509,1012.18,3,0,4.9000000,,3,4.9000000
CUST008118,1417.75,3,0,4.9000000,,3,4.9000000
CUST052954,975.67,3,0,4.9000000,,3,4.9000000
CUST070777,1316.73,3,0,4.9000000,,3,4.9000000
CUST139114,1664.69,3,0,4.9000000,,3,4.9000000
CUST160710,1151.09,3,0,4.9000000,,3,4.9000000
CUST094738,1640.15,3,0,4.9000000,,3,4.9000000
CUST125330,1069.18,3,0,4.9000000,,3,4.9000000
CUST060920,1073.57,3,0,4.9000000,,3,4.9000000
CUST067233,855.17,3,0,4.9000000,,3,4.9000000
CUST147542,862.77,3,0,4.9000000,,3,4.9000000
CUST067953,942.72,3,0,4.9000000,,3,4.9000000
CUST163141,888.27,3,0,4.9000000,,3,4.9000000
CUST142129,1121.50,3,0,4.9000000,,3,4.9000000
CUST091203,1325.33,3,0,4.9000000,,3,4.9000000
CUST190219,899.47,3,0,4.9000000,,3,4.9000000
CUST038396,967.54,3,0,4.8500000,,3,4.8500000
CUST128664,817.93,3,0,4.8500000,,3,4.8500000
CUST167490,1438.91,3,0,4.8500000,,3,4.8500000
CUST023868,859.30,3,0,4.8500000,,3,4.8500000
CUST194442,920.05,3,0,4.8500000,,3,4.8500000
CUST157240,1028.95,3,0,4.8500000,,3,4.8500000
CUST039163,977.16,3,0,4.8500000,,3,4.8500000
CUST027464,967.18,3,0,4.8500000,,3,4.8500000
CUST080153,995.73,3,0,4.8500000,,3,4.8500000
CUST046096,1021.08,3,0,4.8500000,,3,4.8500000
CUST040630,924.15,3,0,4.8500000,,3,4.8500000
CUST175515,957.36,3,0,4.8500000,,3,4.8500000
CUST138155,1448.61,3,0,4.8500000,,3,4.8500000
CUST130350,821.59,3,0,4.8333333,,3,4.8333333
CUST057515,1090.98,3,0,4.8333333,,3,4.8333333
CUST041773,1229.64,3,0,4.8333333,,3,4.8333333
CUST053540,876.85,3,0,4.8000000,,3,4.8000000
CUST102323,1200.74,3,0,4.8000000,,3,4.8000000
CUST061132,923.00,3,0,4.8000000,,3,4.8000000
CUST030750,882.87,3,0,4.8000000,,3,4.8000000
CUST078497,1543.81,3,0,4.8000000,,3,4.8000000
CUST109301,855.72,3,0,4.8000000,,3,4.8000000
CUST127814,873.87,3,0,4.8000000,,3,4.8000000
CUST050392,1051.70,3,0,4.8000000,,3,4.8000000
CUST070441,1384.58,3,0,4.8000000,,3,4.8000000
CUST033317,996.79,3,0,4.8000000,,3,4.8000000
CUST190329,1057.53,3,0,4.8000000,,3,4.8000000
CUST186125,1082.60,3,0,4.8000000,,3,4.8000000
CUST154845,878.72,3,0,4.8000000,,3,4.8000000
CUST058733,1010.38,3,0,4.8000000,,3,4.8000000
CUST051158,1047.22,3,0,4.8000000,,3,4.8000000
CUST006568,1048.15,3,0,4.8000000,,3,4.8000000
CUST143905,850.48,3,0,4.8000000,,3,4.8000000
CUST020966,1002.79,3,0,4.8000000,,3,4.8000000
CUST155405,1087.58,3,0,4.8000000,,3,4.8000000
CUST102948,949.61,3,0,4.8000000,,3,4.8000000
CUST138230,1193.18,3,0,4.8000000,,3,4.8000000
CUST151498,953.70,3,0,4.8000000,,3,4.8000000
CUST017393,883.74,3,0,4.8000000,,3,4.8000000
CUST057698,958.78,3,0,4.8000000,,3,4.8000000
CUST030269,994.46,3,0,4.8000000,,3,4.8000000
CUST152108,915.83,3,0,4.8000000,,3,4.8000000
CUST037212,1097.17,3,0,4.8000000,,3,4.8000000
CUST114887,816.76,3,0,4.8000000,,3,4.8000000
CUST043175,1100.63,3,0,4.8000000,,3,4.8000000
CUST030565,1249.63,3,0,4.8000000,,3,4.8000000
CUST166646,980.02,3,0,4.8000000,,3,4.8000000
CUST113582,868.90,3,0,4.8000000,,3,4.8000000
CUST005375,932.26,3,0,4.8000000,,3,4.8000000
CUST062148,995.39,3,0,4.8000000,,3,4.8000000
CUST058048,1152.73,3,0,4.8000000,,3,4.8000000
CUST177485,926.96,3,0,4.8000000,,3,4.8000000
CUST143534,1044.30,3,0,4.8000000,,3,4.8000000
CUST024156,1051.00,3,0,4.8000000,,3,4.8000000
CUST151146,818.53,3,0,4.8000000,,3,4.8000000
CUST116531,1207.31,3,0,4.8000000,,3,4.8000000
CUST100665,1268.07,3,0,4.8000000,,3,4.8000000
CUST187540,1266.73,3,0,4.8000000,,3,4.8000000
CUST182370,1085.00,3,0,4.8000000,,3,4.8000000
CUST082688,1288.35,3,0,4.8000000,,3,4.8000000
CUST123769,1036.58,3,0,4.8000000,,3,4.8000000
CUST106651,1238.92,3,0,4.8000000,,3,4.8000000
CUST177157,1354.79,3,0,4.8000000,,3,4.8000000
CUST191711,986.93,3,0,4.8000000,,3,4.8000000
CUST196016,1168.83,3,0,4.8000000,,3,4.8000000
CUST136277,1035.43,3,0,4.8000000,,3,4.8000000
CUST005761,891.56,3,0,4.8000000,,3,4.8000000
CUST139705,1333.22,3,0,4.8000000,,3,4.8000000
CUST164491,946.25,3,0,4.8000000,,3,4.8000000
CUST143231,1004.84,3,0,4.8000000,,3,4.8000000
CUST022615,883.33,3,0,4.8000000,,3,4.8000000
CUST067529,1083.00,3,0,4.8000000,,3,4.8000000
CUST149767,1114.94,3,0,4.8000000,,3,4.8000000
