CITY,PERIOD_GROUP,MONTH_NAME,MONTH_NUM,TOTAL_ORDERS
Pune,PRE-CRISIS,Jan 2025,1,1844
Bengaluru,PRE-CRISIS,Mar 2025,3,5798
Ahmedabad,PRE-CRISIS,Apr 2025,4,1742
Pune,PRE-CRISIS,May 2025,5,1859
Delhi,CRISIS,Jun 2025,6,1421
Kolkata,CRISIS,Jun 2025,6,876
Bengaluru,CRISIS,Jul 2025,7,2144
Kolkata,CRISIS,Jul 2025,7,779
Pune,CRISIS,Jul 2025,7,735
Delhi,CRISIS,Aug 2025,8,1225
Mumbai,CRISIS,Sep 2025,9,1273
Pune,CRISIS,Sep 2025,9,701
Chennai,PRE-CRISIS,Mar 2025,3,2373
Chennai,PRE-CRISIS,Apr 2025,4,2182
Mumbai,PRE-CRISIS,May 2025,5,3334
Bengaluru,CRISIS,Aug 2025,8,2160
Ahmedabad,CRISIS,Sep 2025,9,723
Hyderabad,CRISIS,Sep 2025,9,941
Mumbai,PRE-CRISIS,Jan 2025,1,3532
Bengaluru,PRE-CRISIS,Feb 2025,2,5547
Pune,PRE-CRISIS,Feb 2025,2,1797
Kolkata,PRE-CRISIS,Feb 2025,2,2065
Ahmedabad,PRE-CRISIS,May 2025,5,1779
Ahmedabad,CRISIS,Jun 2025,6,745
Mumbai,CRISIS,Jul 2025,7,1362
Pune,CRISIS,Aug 2025,8,704
Ahmedabad,PRE-CRISIS,Jan 2025,1,1990
Delhi,PRE-CRISIS,Jan 2025,1,3445
Hyderabad,PRE-CRISIS,Feb 2025,2,2299
Chennai,PRE-CRISIS,Feb 2025,2,2416
Mumbai,PRE-CRISIS,Mar 2025,3,3414
Pune,PRE-CRISIS,Mar 2025,3,1863
Mumbai,PRE-CRISIS,Apr 2025,4,3190
Hyderabad,PRE-CRISIS,Apr 2025,4,2186
Delhi,PRE-CRISIS,Apr 2025,4,3211
Hyderabad,PRE-CRISIS,May 2025,5,2342
Kolkata,PRE-CRISIS,May 2025,5,2099
Mumbai,CRISIS,Jun 2025,6,1393
Pune,CRISIS,Jun 2025,6,761
Hyderabad,CRISIS,Jul 2025,7,869
Chennai,CRISIS,Jul 2025,7,873
Ahmedabad,CRISIS,Jul 2025,7,747
Delhi,CRISIS,Jul 2025,7,1309
Ahmedabad,CRISIS,Aug 2025,8,701
Kolkata,CRISIS,Sep 2025,9,757
Delhi,CRISIS,Sep 2025,9,1346
Bengaluru,PRE-CRISIS,Jan 2025,1,5804
Chennai,PRE-CRISIS,Jan 2025,1,2349
Kolkata,PRE-CRISIS,Jan 2025,1,2253
Ahmedabad,PRE-CRISIS,Feb 2025,2,1850
Bengaluru,PRE-CRISIS,Apr 2025,4,5388
Chennai,PRE-CRISIS,May 2025,5,2217
Bengaluru,PRE-CRISIS,May 2025,5,5682
Kolkata,CRISIS,Aug 2025,8,814
Bengaluru,CRISIS,Sep 2025,9,2139
Chennai,CRISIS,Sep 2025,9,814
Delhi,PRE-CRISIS,Feb 2025,2,3354
Mumbai,PRE-CRISIS,Feb 2025,2,3339
Ahmedabad,PRE-CRISIS,Mar 2025,3,1994
Kolkata,PRE-CRISIS,Mar 2025,3,2156
Delhi,PRE-CRISIS,May 2025,5,3279
Chennai,CRISIS,Jun 2025,6,902
Chennai,CRISIS,Aug 2025,8,874
Mumbai,CRISIS,Aug 2025,8,1236
Delhi,PRE-CRISIS,Mar 2025,3,3548
Kolkata,PRE-CRISIS,Apr 2025,4,1897
Bengaluru,CRISIS,Jun 2025,6,2257
Hyderabad,PRE-CRISIS,Jan 2025,1,2322
Hyderabad,PRE-CRISIS,Mar 2025,3,2397
Pune,PRE-CRISIS,Apr 2025,4,1670
Hyderabad,CRISIS,Jun 2025,6,938
Hyderabad,CRISIS,Aug 2025,8,841
